reason_id,statusId,reasonName,timeCategoryId,reasonCategoryId
844,1193,FALTA DE ENERGIA ELECTRICA,6351,6435
873,1193,FUERA DE OPERACION,6351,99994
876,1193,MOTOR,6351,6434
877,1193,RADIADOR,6351,6434
878,1193,ENFRIADORES,6351,6434
879,1193,CONVERTIDOR,6351,6434
880,1193,TRANSMISIÓN,6351,6434
881,1193,DIRECCIÓN / SISTEMA DE DIRECCIÓN,6351,6434
882,1193,SISTEMA HCO. / CILINDRO HCO.,6351,6434
883,1193,FRENOS / SISTEMA DE FRENOS,6351,6434
884,1193,MANDOS FINALES,6351,6434
885,1193,CAJA DE CARGA / CUCHARON / HOJA TOPADORA,6351,6434
886,1193,CABINA / BARANDALES / ACCESORIOS,6351,6434
887,1193,SUSPENSIÓN,6351,6434
888,1193,TRACKS,6351,6434
889,1193,DIFERENCIAL,6351,6434
890,1193,BARRA ESTABILIZADORA,6351,6434
891,1193,SISTEMA DE EMPUJE Y LEVANTE,6351,6434
892,1193,COMPRESOR,6351,6434
893,1193,RADIO DE COMUNICACIÓN,6351,6479
894,1193,REPARACIÓN GENERAL (REX),6351,6437
895,1193,MP - 500,6351,6437
896,1193,CABEZAL,6351,6434
897,1193,MASTILL,6351,6434
898,1193,CHASIS,6351,6434
899,1193,FALTA DE ANTICOGELANTE / LUBR.,6351,6434
900,1193,TANQUE DE COMBUSTIBLE,6351,6434
901,1193,LLANTAS CORRECTIVOS,6351,6479
904,1193,MP - 1000,6351,6437
905,1193,PARO CORTO,6351,6437
906,1193,MP - 250,6351,6437
907,1193,ELEMENTOS DE DESGASTE,6351,6434
908,1193,SISTEMA DIGITALES DE MONITOREO,6351,6437
909,1193,ALUMBRADO,6351,6435
910,1193,SISTEMA DE ARRANQUE Y CARGA,6351,6435
911,1193,INDICADORES,6351,6435
912,1193,DE AIRE ACONDICIONADO,6351,6479
913,1193,SISTEMA DE FUERZA Y CONTROL,6351,6435
914,1193,CARRILERIA / ORUGA,6351,6434
915,1193,MOTORES ELÉCTRICOS,6351,6435
916,1193,LUBRICACION CENTRALIZADA,6351,6435
917,1193,ACCESORIOS SISTEMA ELECTRICO,6351,6435
918,1193,ACCIDENTE,6351,1483
920,1572,TRANSITO,6348,99994
921,1623,FALTA DE MATERIAL,6348,99994
922,1623,FALTA EQUIPO DE CARGA,6352,99994
923,1623,FALTA DE CAMIONES,6348,99994
924,1572,FALTA AREA PREPARADA,6348,99994
925,1572,FALTA DE MARCACION ,6348,99994
926,1572,FALTA DE MATERIALES,6348,99994
927,1623,FALTA DIESEL,6348,99994
928,1572,PROBLEMAS CON TUBERIA,6348,99994
929,1572,LIMPIEZA CON TRACTOR,6348,99994
930,1572,MANIOBRAS,6348,99994
931,1572,CAMINO BLOQUEADO,6348,99994
932,1572,CAMBIO DE OPERADOR,6348,99994
933,1623,MANIOBRAS CON CABLE ELEC.,6348,99994
935,1572,PROFUNDIZANDO BARRENOS,6348,99994
936,1572,FALTA DE BARRENOS MARCADOS,6348,99994
938,1623,FALTA DE OPERADOR,6348,99994
939,1623,ALIMENTOS,6348,99994
940,1572,CAMBIO DE TURNO Y CHEQUEO,6348,99994
941,1572,NECESIDADES PERSONALES,6348,99994
944,1623,STAND BY,6352,99994
945,1572,REPONER COMBUSTIBLE,6348,99994
946,1572,PARADO POR VOLADURA,6348,99994
947,1572,REPONER AGUA,6348,99994
948,1193,MP - 150,6351,6437
949,1193,MP - 2000 ,6351,6437
957,1193,(RP) REPARACION PROGRAMADA,6351,6437
958,1193,CALIBRACION/AFINACION ,6351,6437
959,1193,LLANTAS PREVENTIVO,6351,6479
960,1572,FALTA DE DIESEL EN ALMACEN,6348,99994
961,1572,PARADO EN QUEBRADORA,6348,99994
962,1572,CAMBIO DE IMPLEMENTOS,6348,99994
963,1572,ACTIVIDADES AUXILIARES,6348,99994
964,1572,LLENAR DEPOSITO,6348,99994
965,1572,EXTRAER MUESTRA BARRENADA,6348,99994
966,1572,EXTRAER / INTRODUCIR TUBERIA,6348,99994
968,1327,MINERAL,1093,99994
969,1327,ESTERIL,1093,99994
970,1327,OPERATIVO,1093,99994
971,1572,PARO POR COND. CLIMATICAS,6348,99994
972,1193,PRE INSPECCION ,6351,6437
973,1572,FALTA DE AGUA ,6348,99994
975,1572,ESPERA DE CAMIONES,6348,99994
976,1572,ESPERANDO EQUIPO,6348,99994
978,1193,ESPERA DE OVERHAUL,6352,6437
980,1193,FALTA DE REFACCIONES,6351,6437
981,1572,CAMBIO DE BARRENO,6348,99994
982,1572,CAMIONES EN QUEBRADORA,6348,1483
983,1193,CARRETE,6351,6436
984,1572,ACTIVIDADES AUXILIARES CARGA,6348,1483
985,1327,TRABAJOS EN MOL Y CONC,6348,99994
986,1623,ALMACENES LLENO,6352,1483
987,1327,BAJA CAPACIDAD POR MART.,1093,99994
988,1193,BARRA PIVOTE,6351,6434
989,1193,TRANSMIISON DE GIRO / CIRCULO /P DESPLAZAMIENTO,6351,6434
990,1193,AMORTIGUADOR DE IMPACTOS,6351,6434
991,1193,LUBRICACION / ENGRASE,6351,99994
992,1193,CONECTAR / DESCONECTAR ,6348,6434
993,1193,SISTEMA DE CAMBIOS DE BARRA,6351,99994
994,1193,SISTEMA DE ADEME,6351,6434
995,1193,TANDEM,6351,99994
996,1193,ACCESORIOS DE PERFORACION,6351,6434
997,1193,SISTEMA DE COMBUSTIBLE,6351,6434
998,1193,FUGAS DE ACEITE / ANTICONGELANTE / AGUA,6351,99994
999,1193,FISURAS,6351,6434
1000,1572,PARO POR DESCARGA EN TERRERO,6348,1483
1001,1572,BAJA CAPACIDAD,6348,99994
99994,99994,Unknown Reason,99994,99994
